date;seconds;direction;bid;ask;price
26/03/2001;55714;-1;66.10;66.15;66.10
26/03/2001;55749;1;66.10;66.15;66.15
26/03/2001;55765;-1;66.10;66.15;66.10
26/03/2001;55932;-1;66.10;66.15;66.10
26/03/2001;55983;1;66.10;66.15;66.15
26/03/2001;55999;1;66.10;66.15;66.15
26/03/2001;56001;1;66.10;66.15;66.15
26/03/2001;56039;-1;66.10;66.15;66.10
26/03/2001;56056;1;66.10;66.15;66.15
26/03/2001;56078;1;66.10;66.15;66.15
26/03/2001;56197;-1;66.05;66.15;66.05
26/03/2001;56335;-1;66.05;66.15;66.05
26/03/2001;56361;-1;66.05;66.10;66.00
26/03/2001;56395;-1;66.00;66.05;66.00
26/03/2001;56403;-1;66.00;66.05;66.00
26/03/2001;56413;-1;66.00;66.05;66.00
26/03/2001;56434;-1;66.00;66.05;66.00
26/03/2001;56476;-1;66.00;66.05;66.00
26/03/2001;56554;-1;66.00;66.05;66.00
26/03/2001;56587;-1;66.00;66.05;66.00
26/03/2001;56589;-1;66.00;66.05;66.00
26/03/2001;56600;-1;66.00;66.05;66.00
26/03/2001;56634;-1;66.00;66.05;66.00
26/03/2001;56651;-1;66.00;66.05;66.00
26/03/2001;56668;-1;66.00;66.05;66.00
26/03/2001;56716;-1;66.00;66.05;65.99
26/03/2001;56772;-1;65.90;66.05;65.90
26/03/2001;56830;-1;65.95;66.05;65.95
26/03/2001;56842;-1;65.95;66.00;65.95
26/03/2001;56843;1;65.85;65.95;65.95
26/03/2001;56847;-1;65.95;66.00;65.95
26/03/2001;56852;-1;65.95;66.00;65.95
26/03/2001;56914;-1;65.85;66.00;65.85
26/03/2001;56921;-1;65.85;66.00;65.85
26/03/2001;56927;-1;65.85;66.00;65.85
26/03/2001;56936;-1;65.85;65.95;65.85
26/03/2001;57042;-1;65.80;65.95;65.80
26/03/2001;57173;-1;65.80;65.95;65.74
26/03/2001;57192;-1;65.80;65.90;65.74
26/03/2001;57213;-1;65.70;65.75;65.70
26/03/2001;57247;1;65.65;65.75;65.75
26/03/2001;57252;1;65.65;65.75;65.75
26/03/2001;57263;1;65.65;65.75;65.76
26/03/2001;57264;-1;65.65;65.90;65.65
26/03/2001;57269;1;65.50;65.90;65.90
26/03/2001;57397;-1;65.60;65.90;65.60
26/03/2001;57408;1;65.60;65.90;65.90
26/03/2001;57417;-1;65.60;65.90;65.60
26/03/2001;57458;-1;65.60;65.90;65.60
26/03/2001;57483;1;65.60;65.90;65.90
26/03/2001;57543;-1;65.60;65.75;65.60
26/03/2001;57559;-1;65.60;65.75;65.60
26/03/2001;57579;1;65.65;65.70;65.70
26/03/2001;57683;-1;65.70;65.75;65.70
26/03/2001;57688;1;65.65;65.70;65.70
26/03/2001;57689;-1;65.70;65.75;65.70
26/03/2001;57698;-1;65.70;65.75;65.70
26/03/2001;57699;-1;65.70;65.75;65.70
26/03/2001;57709;1;65.65;65.70;65.70
26/03/2001;57710;1;65.65;65.70;65.70
26/03/2001;57745;1;65.70;65.75;65.75
26/03/2001;57776;-1;65.70;65.75;65.70
26/03/2001;57801;-1;65.65;65.75;65.65
26/03/2001;57857;1;65.65;65.75;65.75
26/03/2001;57868;1;65.65;65.75;65.80
26/03/2001;57870;1;65.75;65.80;65.90
26/03/2001;57871;1;65.75;65.80;65.90
26/03/2001;57944;1;65.65;65.90;65.91
26/03/2001;57957;1;65.75;65.95;65.99
26/03/2001;58136;-1;65.75;66.25;65.75
26/03/2001;58380;-1;66.00;66.15;66.00
26/03/2001;58421;1;66.00;66.15;66.15
26/03/2001;58538;1;66.00;66.05;66.05
26/03/2001;58678;-1;66.00;66.15;66.00
26/03/2001;58894;-1;65.95;66.15;65.95
26/03/2001;59025;1;65.95;66.00;66.00
26/03/2001;59026;1;65.95;66.00;66.00
26/03/2001;59032;-1;66.00;66.15;66.00
26/03/2001;59037;-1;66.00;66.15;66.00
26/03/2001;59078;1;66.00;66.15;66.15
26/03/2001;59111;-1;66.00;66.15;66.00
26/03/2001;59197;-1;66.00;66.15;66.00
26/03/2001;59218;-1;65.95;66.15;65.95
26/03/2001;59430;-1;65.95;66.15;65.95
26/03/2001;59489;-1;66.00;66.15;66.00
26/03/2001;59517;-1;66.05;66.15;66.02
26/03/2001;59530;-1;66.00;66.10;66.00
26/03/2001;59547;-1;66.00;66.10;66.00
26/03/2001;59555;1;66.00;66.10;66.10
26/03/2001;59585;-1;66.00;66.10;66.00
26/03/2001;59635;-1;65.95;66.00;65.95
26/03/2001;59678;1;65.95;66.00;66.00
26/03/2001;59688;1;65.95;66.00;66.00
26/03/2001;59694;-1;66.00;66.10;65.96
26/03/2001;59711;1;66.05;66.10;66.10
26/03/2001;59727;1;66.05;66.10;66.10
26/03/2001;59737;-1;66.05;66.15;66.05
26/03/2001;59755;1;66.10;66.15;66.15
26/03/2001;59769;1;66.15;66.20;66.20
26/03/2001;59770;-1;66.20;66.25;66.16
26/03/2001;59950;-1;66.15;66.20;66.15
26/03/2001;59962;1;66.15;66.20;66.20
26/03/2001;59987;-1;66.15;66.20;66.15
26/03/2001;59989;-1;66.15;66.20;66.15
26/03/2001;59992;-1;66.15;66.20;66.15
26/03/2001;60012;-1;66.15;66.20;66.15
26/03/2001;60019;-1;66.15;66.20;66.15
26/03/2001;60032;-1;66.15;66.20;66.02
26/03/2001;60033;-1;65.95;66.00;65.95
26/03/2001;60091;-1;65.95;66.00;65.91
26/03/2001;60165;1;65.95;66.00;66.07
