date;time;price;q;direction
19/09/2003;104708;137.7;291;1
19/09/2003;104714;137.6;10;-1
19/09/2003;104801;137.6;47;-1
19/09/2003;104857;137.6;4000;-1
19/09/2003;104919;137.6;2096;-1
19/09/2003;104930;137.6;168;1
19/09/2003;104950;137.5;13911;-1
19/09/2003;104953;137.5;575;1
19/09/2003;104958;137.5;151;1
19/09/2003;105004;137.5;1241;1
19/09/2003;105005;137.5;25;1
19/09/2003;105013;137.5;151;1
19/09/2003;105022;137.5;6;1
19/09/2003;105028;137.5;151;1
19/09/2003;105036;137.5;911;1
19/09/2003;105036;137.4;23;-1
19/09/2003;105043;137.5;151;1
19/09/2003;105049;137.5;500;1
19/09/2003;105055;137.4;60;-1
19/09/2003;105058;137.5;151;1
19/09/2003;105110;137.5;50;1
19/09/2003;105110;137.4;389;-1
19/09/2003;105113;137.5;151;1
19/09/2003;105128;137.5;151;1
19/09/2003;105133;137.5;200;1
19/09/2003;105135;137.5;50;1
19/09/2003;105137;137.4;10;-1
19/09/2003;105143;137.5;151;1
19/09/2003;105153;137.4;1000;-1
19/09/2003;105158;137.5;151;1
19/09/2003;105200;137.4;2225;-1
19/09/2003;105202;137.4;2000;-1
19/09/2003;105204;137.5;55;1
19/09/2003;105206;137.4;863;-1
19/09/2003;105210;137.4;1000;1
19/09/2003;105212;137.4;80;1
19/09/2003;105213;137.4;151;1
19/09/2003;105214;137.4;2;1
19/09/2003;105216;137.3;4;-1
19/09/2003;105217;137.3;278;1
19/09/2003;105217;137.3;718;-1
19/09/2003;105220;137.3;5;-1
19/09/2003;105220;137.3;217;-1
19/09/2003;105222;137.2;250;-1
19/09/2003;105222;137.2;221;-1
19/09/2003;105226;137.3;500;1
19/09/2003;105228;137.3;100;1
19/09/2003;105228;137.3;151;1
19/09/2003;105229;137.3;200;1
19/09/2003;105235;137.3;600;1
19/09/2003;105235;137.3;832;1
19/09/2003;105236;137.3;404;-1
19/09/2003;105242;137.4;21;1
19/09/2003;105243;137.4;151;1
19/09/2003;105247;137.3;1500;-1
19/09/2003;105258;137.4;151;1
19/09/2003;105308;137.4;126;1
19/09/2003;105313;137.4;151;1
19/09/2003;105328;137.4;151;1
19/09/2003;105343;137.4;151;1
19/09/2003;105358;137.4;151;1
19/09/2003;105404;137.3;389;-1
19/09/2003;105413;137.4;151;1
19/09/2003;105417;137.4;375;1
19/09/2003;105418;137.3;389;-1
19/09/2003;105419;137.3;1000;-1
19/09/2003;105420;137.3;434;-1
19/09/2003;105428;137.4;151;1
19/09/2003;105443;137.4;151;1
19/09/2003;105458;137.4;151;1
19/09/2003;105513;137.4;151;1
19/09/2003;105516;137.3;836;-1
19/09/2003;105517;137.3;413;-1
19/09/2003;105518;137.3;20;-1
19/09/2003;105519;137.3;997;-1
19/09/2003;105528;137.3;151;1
19/09/2003;105529;137.2;389;-1
19/09/2003;105543;137.3;151;1
19/09/2003;105543;137.2;1236;-1
19/09/2003;105558;137.3;151;1
19/09/2003;105613;137.3;151;1
19/09/2003;105614;137.2;389;-1
19/09/2003;105619;137.2;1500;-1
19/09/2003;105621;137.2;500;-1
19/09/2003;105623;137.2;156;-1
19/09/2003;105624;137.1;434;-1
19/09/2003;105628;137.1;273;-1
19/09/2003;105628;137.15531;273;-1
19/09/2003;105643;137.2;151;1
19/09/2003;105644;137.1;389;-1
19/09/2003;105648;137.2;500;1
19/09/2003;105648;137.1;322;-1
19/09/2003;105658;137.2;151;1
19/09/2003;105713;137.2;151;1
19/09/2003;105721;137.1;11;-1
19/09/2003;105728;137.2;151;1
19/09/2003;105735;137.2;156;1
